log_timestamp,log_name,algorithm_round,start_timestamp,agent,seconds_to_complete,epoch,accuracy,loss,precision,recall,f1_score
2025-03-29 19:25:21.397,rf.nn.train.agent.a3,35,2025-03-29T18:25:19.877093Z,a3,1.50996,1,0.987353206865402,0.04091533821400219,0.7979544650348273,0.8652707712778858,0.8233225124262175
2025-03-29 19:25:22.797,rf.nn.train.agent.a3,35,2025-03-29T18:25:21.407350Z,a3,1.380015,2,0.999096657633243,0.003563316426541845,0.9992067540684013,0.9997789588390363,0.9994920781999456
2025-03-29 19:25:24.107,rf.nn.train.agent.a3,35,2025-03-29T18:25:22.807607Z,a3,1.28171,3,0.9993547554523164,0.0024220910321666243,0.99983506746006,0.9998227592462088,0.9998289079175812
2025-03-29 19:25:32.817,rf.nn.train.agent.a4,36,2025-03-29T18:25:32.407609Z,a4,0.408467,1,0.9857651245551602,0.03401516728489747,0.6064442167285768,0.6970789769465267,0.6384007399094064
2025-03-29 19:25:33.087,rf.nn.train.agent.a4,36,2025-03-29T18:25:32.820473Z,a4,0.262619,2,1.0,0.0039015316600990394,1.0,1.0,1.0
2025-03-29 19:25:33.347,rf.nn.train.agent.a4,36,2025-03-29T18:25:33.091922Z,a4,0.249756,3,1.0,0.0019730562605029677,1.0,1.0,1.0
2025-03-29 19:25:35.635,rf.nn.train.agent.a3,36,2025-03-29T18:25:34.344713Z,a3,1.276613,1,0.9958704348948252,0.013188510479824953,0.8816701209062698,0.8936128486778557,0.8871547877391516
2025-03-29 19:25:37.071,rf.nn.train.agent.a3,36,2025-03-29T18:25:35.638372Z,a3,1.419148,2,0.9849012775842044,0.05139586407848856,0.9658629719432982,0.9732317171765656,0.9693913863632668
2025-03-29 19:25:38.394,rf.nn.train.agent.a3,36,2025-03-29T18:25:37.071680Z,a3,1.308278,3,0.9923861143373338,0.02010825255332927,0.994960058940356,0.9881018143774042,0.9914309903088472
2025-03-29 19:25:40.458,rf.nn.train.agent.a1,36,2025-03-29T18:25:39.807387Z,a1,0.646908,1,0.9931343283582089,0.02830459051632109,0.4644155097593057,0.45644586412116783,0.46032752805023563
2025-03-29 19:25:41.075,rf.nn.train.agent.a1,36,2025-03-29T18:25:40.462991Z,a1,0.604206,2,0.9997014925373134,0.0016438282700142908,0.9994428969359331,0.9999318336741648,0.9996869709998887
2025-03-29 19:25:41.700,rf.nn.train.agent.a1,36,2025-03-29T18:25:41.079482Z,a1,0.617728,3,1.0,0.00045116169778469027,1.0,1.0,1.0
2025-03-29 19:25:45.261,rf.nn.train.agent.a2,36,2025-03-29T18:25:43.082020Z,a2,2.155549,1,0.9996479121188648,0.002729592377453718,0.9958350451385737,0.999768983909061,0.9977780301728446
2025-03-29 19:25:47.539,rf.nn.train.agent.a2,36,2025-03-29T18:25:45.267114Z,a2,2.251346,2,1.0,0.0005898553398609536,1.0,1.0,1.0
2025-03-29 19:25:49.861,rf.nn.train.agent.a2,36,2025-03-29T18:25:47.539705Z,a2,2.293383,3,1.0,0.0003902834167273066,1.0,1.0,1.0
2025-03-29 19:25:53.545,rf.nn.train.agent.a0,36,2025-03-29T18:25:51.372382Z,a0,2.152695,1,0.9980786965877652,0.00797924920441743,0.5508968119931823,0.554652853886044,0.5527343959028366
2025-03-29 19:25:55.650,rf.nn.train.agent.a0,36,2025-03-29T18:25:53.547576Z,a0,2.080582,2,0.9993851829080849,0.0020868771524331304,0.9994737589238545,0.9977332610827621,0.9985985842469931
2025-03-29 19:25:57.709,rf.nn.train.agent.a0,36,2025-03-29T18:25:55.653464Z,a0,2.031722,3,0.998616661543191,0.0058460187909711555,0.9960785138391713,0.9971033110502715,0.9965896922544285
2025-03-29 19:26:08.544,rf.nn.train.agent.a2,37,2025-03-29T18:26:06.187999Z,a2,2.329257,1,0.9738750792197732,0.0796645880607455,0.6434994132957927,0.6482860492360087,0.6458324649240352
2025-03-29 19:26:10.923,rf.nn.train.agent.a2,37,2025-03-29T18:26:08.547251Z,a2,2.35456,2,0.9877473417364975,0.04087856572222917,0.9815295444956198,0.9758775488968107,0.9786510218762761
2025-03-29 19:26:13.174,rf.nn.train.agent.a2,37,2025-03-29T18:26:10.927361Z,a2,2.220058,3,0.9861277374832759,0.04619114956607301,0.9905783186737039,0.9846566919918365,0.9875625720430851
2025-03-29 19:26:15.001,rf.nn.train.agent.a4,37,2025-03-29T18:26:14.663546Z,a4,0.333742,1,0.9970344009489917,0.012925151146878049,0.8700751182583725,0.9964082887923946,0.9054420909467858
2025-03-29 19:26:15.314,rf.nn.train.agent.a4,37,2025-03-29T18:26:15.005565Z,a4,0.304493,2,1.0,0.0013928949171353245,1.0,1.0,1.0
2025-03-29 19:26:15.620,rf.nn.train.agent.a4,37,2025-03-29T18:26:15.318420Z,a4,0.297977,3,1.0,0.0010156994519419178,1.0,1.0,1.0
2025-03-29 19:26:18.860,rf.nn.train.agent.a0,37,2025-03-29T18:26:16.730769Z,a0,2.106491,1,0.9758684291423302,0.07135886421581017,0.6040529292746735,0.6045117982948749,0.6042811182137907
2025-03-29 19:26:20.877,rf.nn.train.agent.a0,37,2025-03-29T18:26:18.860081Z,a0,1.997011,2,0.9704119274515831,0.08802930481326583,0.9627780781088603,0.9625447838922124,0.9626554868215477
2025-03-29 19:26:22.910,rf.nn.train.agent.a0,37,2025-03-29T18:26:20.880375Z,a0,2.013019,3,0.9887795880725484,0.035901153136963765,0.986936450634287,0.984502265246031,0.9857111723500853
2025-03-29 19:26:24.939,rf.nn.train.agent.a1,37,2025-03-29T18:26:24.327251Z,a1,0.604301,1,0.9761194029850746,0.08553056460025671,0.4714082337169302,0.5535334844352359,0.501008565397854
2025-03-29 19:26:25.511,rf.nn.train.agent.a1,37,2025-03-29T18:26:24.939726Z,a1,0.567388,2,0.9961194029850746,0.009685494220974804,0.989265915008924,0.9402996882542027,0.961209832722156
2025-03-29 19:26:26.080,rf.nn.train.agent.a1,37,2025-03-29T18:26:25.515834Z,a1,0.558514,3,0.9988059701492538,0.003101856838016136,0.9992369811090984,0.9918260046449671,0.9954589007349469
2025-03-29 19:26:28.607,rf.nn.train.agent.a3,37,2025-03-29T18:26:27.312867Z,a3,1.284638,1,0.9971609239901923,0.010595517279544305,0.9533933271983144,0.9905860456107803,0.9696073307757516
2025-03-29 19:26:29.852,rf.nn.train.agent.a3,37,2025-03-29T18:26:28.610040Z,a3,1.2297,2,0.9996128532713898,0.0016624847443149388,0.9998912216160067,0.999352863257902,0.9996212832846632
2025-03-29 19:26:31.049,rf.nn.train.agent.a3,37,2025-03-29T18:26:29.852495Z,a3,1.184735,3,1.0,0.0004041856270076979,1.0,1.0,1.0
2025-03-29 19:26:40.287,rf.nn.train.agent.a1,38,2025-03-29T18:26:39.619689Z,a1,0.663007,1,0.9934328358208955,0.01760091357236455,0.5139996425330298,0.5459431559601353,0.5284564034877051
2025-03-29 19:26:40.847,rf.nn.train.agent.a1,38,2025-03-29T18:26:40.289201Z,a1,0.548209,2,1.0,0.000594790237647387,1.0,1.0,1.0
2025-03-29 19:26:41.377,rf.nn.train.agent.a1,38,2025-03-29T18:26:40.847332Z,a1,0.521107,3,0.9994029850746269,0.0024771782170513947,0.9961582487685046,0.9961582487685046,0.9961582487685046
2025-03-29 19:26:44.565,rf.nn.train.agent.a0,38,2025-03-29T18:26:42.497452Z,a0,2.044117,1,0.9982324008607439,0.007940824507886982,0.5538912712212185,0.5546536032934227,0.5542695810830608
2025-03-29 19:26:46.592,rf.nn.train.agent.a0,38,2025-03-29T18:26:44.567181Z,a0,2.005987,2,0.9999231478635106,0.0010633756588544407,0.9999471598414795,0.9998383185125302,0.9998927029970985
2025-03-29 19:26:48.617,rf.nn.train.agent.a0,38,2025-03-29T18:26:46.594541Z,a0,2.001038,3,0.9995388871810637,0.001986347771586086,0.9994662536921272,0.9995807499787528,0.9995234335020899
2025-03-29 19:26:52.197,rf.nn.train.agent.a2,38,2025-03-29T18:26:49.897109Z,a2,2.270482,1,0.9980987254418703,0.007421256905107273,0.5870271397616549,0.5968199208604987,0.5917758117810527
2025-03-29 19:26:54.577,rf.nn.train.agent.a2,38,2025-03-29T18:26:52.197219Z,a2,2.350099,2,1.0,0.0005229518776969098,1.0,1.0,1.0
2025-03-29 19:26:56.712,rf.nn.train.agent.a2,38,2025-03-29T18:26:54.577196Z,a2,2.110151,3,1.0,0.00037191078096126347,1.0,1.0,1.0
2025-03-29 19:26:58.497,rf.nn.train.agent.a4,38,2025-03-29T18:26:58.184944Z,a4,0.312169,1,0.998220640569395,0.00846467355984474,0.9258207070707071,0.9995998278558985,0.9441916428563109
